
ENABLE_DYNAMIC_MODULES
MODULES
PREFIX
USE_GTK
USE_UDEV
USE_SYSTEMD
USE_GLIB
USE_CHECK
LINUX_MICRO
FBP_GENERATOR
FBP_RUNNER
FBP_TO_DOT
FLOW_NODE_TYPES
COAP
CORE
PLATFORM_LINUX_COMMON
PLATFORM_LINUX_MICRO
PLATFORM_RIOTOS
PLATFORM_DUMMY
PLATFORM_SYSTEMD
MAINLOOP_GLIB
MAINLOOP_POSIX
MAINLOOP_RIOTOS
LOG
DEFAULT_LOG_LEVEL_CRITICAL
DEFAULT_LOG_LEVEL_ERROR
DEFAULT_LOG_LEVEL_WARNING
DEFAULT_LOG_LEVEL_INFO
DEFAULT_LOG_LEVEL_DEBUG
INSPECTOR
KDBUS
SOCKET_LINUX
FLOW
RESOLVER_CONFFILE
FLOW_RESOLVER
FLOW_NODE_TYPE_ACCELEROMETER
FLOW_NODE_TYPE_AIO
FLOW_NODE_TYPE_APP
FLOW_NODE_TYPE_BOOLEAN
FLOW_NODE_TYPE_BYTE
FLOW_NODE_TYPE_CALAMARI
FLOW_NODE_TYPE_COLOR
FLOW_NODE_TYPE_CONSOLE
FLOW_NODE_TYPE_CONSTANT
FLOW_NODE_TYPE_CONVERTER
FLOW_NODE_TYPE_EVDEV
FLOW_NODE_TYPE_FILE
FLOW_NODE_TYPE_FILTER_REPEATED
FLOW_NODE_TYPE_FLOAT
FLOW_NODE_TYPE_FS
FLOW_NODE_TYPE_GPIO
FLOW_NODE_TYPE_GROVE
FLOW_NODE_TYPE_GTK
FLOW_NODE_TYPE_GYROSCOPE
FLOW_NODE_TYPE_HUB
FLOW_NODE_TYPE_INT
FLOW_NODE_TYPE_KEYBOARD
FLOW_NODE_TYPE_NETWORK
FLOW_NODE_TYPE_OIC
FLOW_NODE_TYPE_PIEZO_SPEAKER
FLOW_NODE_TYPE_PLATFORM
FLOW_NODE_TYPE_PROCESS
FLOW_NODE_TYPE_PWM
FLOW_NODE_TYPE_RANDOM
FLOW_NODE_TYPE_SERVO_MOTOR
FLOW_NODE_TYPE_STRING
FLOW_NODE_TYPE_TEST
FLOW_NODE_TYPE_TIMER
FLOW_NODE_TYPE_TRIGONOMETRY
FLOW_NODE_TYPE_UDEV
FLOW_NODE_TYPE_UNIX_SOCKET
FLOW_NODE_TYPE_WALLCLOCK
LINUX_MICRO_BLUETOOTH
LINUX_MICRO_CONSOLE
LINUX_MICRO_DBUS
LINUX_MICRO_FSTAB
LINUX_MICRO_HOSTNAME
LINUX_MICRO_LOCALE
LINUX_MICRO_NETWORK_UP
LINUX_MICRO_RC_D
LINUX_MICRO_SYSCTL
LINUX_MICRO_WATCHDOG
PIN_MUX_INTEL_GALILEO_REV_G
INTERNAL_SHARED
PTHREAD
TEST_ARENA
TEST_BUFFER
TEST_COAP
TEST_FBP
TEST_FBP_SCANNER
TEST_FLOW
TEST_FLOW_BUILDER
TEST_FLOW_PARSER
TEST_MAINLOOP
TEST_MAINLOOP_LINUX
TEST_MAINLOOP_THREADS
TEST_MAINLOOP_THREADS_SOL_RUN
TEST_MONITORS
TEST_STR_SLICE
TEST_STR_SPLIT
TEST_STR_TABLE
TEST_VECTOR
SOL_PLATFORM_LINUX
TEST_JSON
NODE_DESCRIPTION
